"","X","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp","significant","expression","human_gene"
"46",198,"Heg1",9.12221262263243e-30,-2.01762844636397,0.149,0.411,1.38110299106655e-25,"Untreated","significant","negative","HEG1"
"47",99,"Lsr",3.18947595052886e-43,1.97080453759368,0.287,0.085,4.8288665891007e-39,"Untreated","significant","positive","LSR"
"48",64,"Ifi47",2.32250867030349e-54,-1.94618428603367,0.2,0.574,3.51627812683949e-50,"Untreated","significant","negative",NA
"49",204,"Lap3",3.15905327165635e-29,-1.94604774899843,0.134,0.388,4.78280665328771e-25,"Untreated","significant","negative","LAP3"
"50",301,"Tmcc3",1.80758571522246e-22,-1.93200675251811,0.087,0.3,2.7366847728468e-18,"Untreated","significant","negative","TMCC3"
"51",293,"Cxcl2",9.85093509875027e-23,-1.89721071139049,0.24,0.442,1.49143157395079e-18,"Untreated","significant","negative","CXCL3"
"52",315,"Il27",1.06092623191014e-21,-1.89296339728352,0.087,0.292,1.60624231511195e-17,"Untreated","significant","negative","IL27"
"53",152,"Nrp1",1.06139986859341e-34,-1.88277063820054,0.161,0.449,1.60695940105042e-30,"Untreated","significant","negative","NRP1"
"54",1352,"Acp5",6.50345651174918e-80,1.88183324116803,0.417,0.18,9.84623315878825e-76,"NP+","significant","positive","ACP5"
"55",94,"Sh2b2",4.85469100486846e-44,1.85800266989996,0.359,0.127,7.35000218137085e-40,"Untreated","significant","positive","SH2B2"
"56",1,"B2m",5.11948192135179e-215,-1.85620939993045,0.747,0.994,7.75089562892661e-211,"Untreated","significant","negative","B2M"
"57",103,"Ptafr",1.2643063645527e-42,-1.84882636491203,0.242,0.554,1.91415983593279e-38,"Untreated","significant","negative","PTAFR"
"58",1355,"Cd300e",1.03648900514268e-77,1.84388697431453,0.33,0.109,1.56924435378601e-73,"NP+","significant","positive","CD300E"
"59",272,"Il21r",4.23817389979296e-24,-1.8424429742471,0.083,0.307,6.41659528428654e-20,"Untreated","significant","negative","IL21R"
"60",1462,"Bmpr2",2.68714615642743e-33,-1.83410940104651,0.384,0.498,4.06833928083113e-29,"NP+","significant","negative","BMPR2"
"61",243,"Blvrb",3.08566141927076e-26,-1.82928766678135,0.138,0.381,4.67169138877593e-22,"Untreated","significant","negative","BLVRB"
"62",149,"Cyfip2",6.39620939067559e-35,-1.82363224973572,0.225,0.502,9.68386101748285e-31,"Untreated","significant","negative","CYFIP2"
"63",63,"Arsb",1.85288788621484e-54,1.81398784476421,0.454,0.169,2.80527225972927e-50,"Untreated","significant","positive","ARSB"
"64",157,"Acp2",1.69884180080442e-34,-1.81342151568645,0.189,0.472,2.57204648641789e-30,"Untreated","significant","negative","ACP2"
"65",515,"Acp5",6.54423559818097e-14,-1.81070665295099,0.163,0.316,9.90797269564599e-10,"Untreated","significant","negative","ACP5"
"66",112,"Irf2bpl",4.89406696381418e-41,1.78936405779538,0.308,0.099,7.40961738321466e-37,"Untreated","significant","positive","IRF2BPL"
"67",1393,"Ahr",9.30660921403612e-56,-1.78221663235602,0.107,0.282,1.40902063500507e-51,"NP+","significant","negative","AHR"
"68",137,"Phf11b",1.24326958112875e-36,-1.77525577686111,0.163,0.465,1.88231014582892e-32,"Untreated","significant","negative","PHF11"
"69",144,"Ikbke",2.00499298228438e-35,-1.75252292265095,0.168,0.461,3.03555937517856e-31,"Untreated","significant","negative","IKBKE"
"70",1383,"Antxr2",1.14126195169209e-60,-1.73836887421465,0.12,0.307,1.72787059486182e-56,"NP+","significant","negative","ANTXR2"
"71",417,"Bmpr2",3.39127198038101e-17,-1.69216575791022,0.268,0.459,5.13438577829685e-13,"Untreated","significant","negative","BMPR2"
"72",75,"Tnfaip2",8.08189713767919e-50,-1.68102784166723,0.376,0.675,1.22359922664463e-45,"Untreated","significant","negative","TNFAIP2"
"73",35,"Gpr141",1.71207144230137e-71,-1.65888943999864,0.397,0.741,2.59207616364427e-67,"Untreated","significant","negative","GPR141"
"74",1569,"Sptbn1",4.36261576754211e-18,-1.64861336174833,0.397,0.46,6.60500027205876e-14,"NP+","significant","negative","SPTBN1"
"75",1192,"Vat1",5.29278195298626e-24,-1.64739702348092,0.156,0.279,8.01327187682119e-20,"NP-","significant","negative","VAT1"
"76",1469,"Ece1",1.91411429135927e-31,-1.64290932584041,0.322,0.436,2.89796903711793e-27,"NP+","significant","negative","ECE1"
"77",271,"Tcf7l2",4.22319372970923e-24,-1.64246249112578,0.13,0.361,6.39391530677978e-20,"Untreated","significant","negative","TCF7L2"
