"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp"
"1","Plac8",6.97293059491577e-76,-3.47078580226309,0.058,0.387,1.1176213157531e-71,"TB"
"2","Gbp2b",5.10841957573408e-53,-3.11748269951419,0.072,0.44,8.18777489598659e-49,"TB"
"3","Gbp2",1.11214036732086e-42,-1.84767459912127,0.192,0.568,1.78253858074187e-38,"TB"
"4","Ifi47",2.15336757466416e-35,-1.66489075360115,0.174,0.606,3.45141754867171e-31,"TB"
"5","Acod1",1.79703605679675e-33,-1.88142259990373,0.069,0.295,2.88028939183384e-29,"TB"
"6","Btg1",1.51814015502959e-32,-1.02620697316217,0.717,0.942,2.43327504048143e-28,"TB"
"7","Arpc4",1.61936084725062e-31,-1.79042879235936,0.123,0.548,2.5955115659733e-27,"TB"
"8","Cxcl2",1.68363464334702e-31,-1.33874204647389,0.091,0.302,2.6985296063566e-27,"TB"
"9","B2m",3.06781567391781e-29,-0.993134057625507,0.565,0.905,4.91709496215547e-25,"TB"
"10","Ifi204",4.7357417960548e-29,-1.50134723154121,0.101,0.5,7.59044695071663e-25,"TB"
"11","Cxcr4",2.80444518304793e-28,-1.19438075253682,0.446,0.823,4.49496473938922e-24,"TB"
"12","Cblb",8.62256800816407e-28,-1.37429993454235,0.199,0.643,1.38202520034854e-23,"TB"
"13","Igtp",1.78623396839538e-27,-2.02154798142968,0.138,0.493,2.86297580454411e-23,"TB"
"14","Irf1",2.58972272133877e-26,-1.29963800877149,0.504,0.826,4.15080757776178e-22,"TB"
"15","mt-Nd1",7.41135416869372e-26,-1.27799413987451,0.246,0.667,1.18789184615823e-21,"TB"
"16","Gbp5",1.9076839127566e-24,-1.67425212351597,0.08,0.353,3.05763577536628e-20,"TB"
"17","Nfatc3",2.00415090687743e-24,-1.06749589341524,0.221,0.652,3.21225307354314e-20,"TB"
"18","Parp14",5.15295132309654e-23,-1.26636866662087,0.149,0.493,8.25915038065914e-19,"TB"
"19","Cd274",5.52015654846337e-23,-1.21551718811349,0.17,0.496,8.84770691587709e-19,"TB"
"20","Ly6e",6.18666951709646e-23,-1.22510118091684,0.275,0.556,9.91599390200221e-19,"TB"
"21","Tab2",1.61695867884723e-22,-0.940493664978625,0.239,0.668,2.59166137045635e-18,"TB"
"22","Ube2d3",2.41436234961165e-22,-0.919107181646551,0.178,0.571,3.86973997395755e-18,"TB"
"23","Eif3f",5.19490694172394e-22,-0.935927054921851,0.29,0.719,8.32639684619513e-18,"TB"
"24","Irgm1",7.8849827763306e-22,-1.20443881257238,0.181,0.508,1.26380503939027e-17,"TB"
"25","Gbp4",1.86950338622742e-21,-1.08216343061773,0.246,0.641,2.9964400274453e-17,"TB"
"26","Capza2",2.33908475524143e-21,-1.29796185914526,0.098,0.438,3.74908504570097e-17,"TB"
"27","Ncoa6",5.60918223746558e-21,-1.38641550076402,0.051,0.359,8.99039729020984e-17,"TB"
"28","Hipk1",6.19193688835618e-21,-0.850279119050784,0.457,0.829,9.92443644465728e-17,"TB"
"29","Arpc2",6.42432249245422e-21,-0.957490305616054,0.261,0.685,1.02969040909056e-16,"TB"
"30","Dennd4a",1.28940275386553e-20,-1.18915268862105,0.178,0.543,2.06665473389567e-16,"TB"
"31","Rtp4",1.35861919222749e-20,-1.67442823133169,0.069,0.312,2.17759484130222e-16,"TB"
"32","Gbp9",1.46674037950496e-20,-1.74062516624734,0.065,0.363,2.35089148027055e-16,"TB"
"33","Rab5c",2.01001049481387e-20,-0.8942162264261,0.261,0.686,3.22164482108768e-16,"TB"
"34","Isg15",4.03167449667357e-20,-0.906736580249986,0.127,0.355,6.4619678832684e-16,"TB"
"35","Hspa8",5.90233149092103e-20,-0.915570973359284,0.417,0.814,9.46025691364823e-16,"TB"
"36","Nedd9",7.67569063902035e-20,-0.975436571534175,0.174,0.535,1.23025969562218e-15,"TB"
"37","Gbp3",9.6446162428459e-20,-1.16758227922556,0.138,0.433,1.54583909140334e-15,"TB"
"38","Capza1",1.15159649048382e-19,-0.852643893132903,0.163,0.523,1.84577885494747e-15,"TB"
"39","Irgm2",1.26620404528471e-19,-1.58924733284706,0.094,0.375,2.02947184378234e-15,"TB"
"40","Ascc3",1.26831124242912e-19,-0.650144443985522,0.181,0.549,2.0328492593654e-15,"TB"
"41","Selenot",1.27711347712157e-19,-0.794058902166196,0.185,0.564,2.04695748113045e-15,"TB"
"42","Fbxl5",1.35542154966265e-19,-0.607244070462423,0.203,0.469,2.17246965979929e-15,"TB"
"43","Tnks2",1.56783124619844e-19,-0.684818555624427,0.217,0.628,2.51291992140687e-15,"TB"
"44","Rnf213",3.3989478445029e-19,-0.953839325479743,0.138,0.44,5.44783360516926e-15,"TB"
"45","Psmc5",6.48779269572824e-19,-0.884774033165854,0.17,0.535,1.03986341327132e-14,"TB"
"46","Naa20",6.57864478930623e-19,-1.64637921718157,0.047,0.334,1.05442518683e-14,"TB"
"47","Irf9",6.95667682196424e-19,-1.01317251162104,0.185,0.53,1.11501616102443e-14,"TB"
"48","Prkch",1.07284487631307e-18,-0.948701326185431,0.264,0.647,1.71955576775459e-14,"TB"
"49","Ccr5",1.18439046254332e-18,-1.48496434786674,0.087,0.39,1.89834103336443e-14,"TB"
"50","Eif4a1",1.39196873442e-18,-0.854312395355067,0.217,0.595,2.23104748752837e-14,"TB"
"51","Sumo2",1.52214638129048e-18,-1.47050818053237,0.08,0.379,2.43969621993238e-14,"TB"
"52","Gpr65",2.5346528701488e-18,-1.10323882489907,0.112,0.432,4.06254162027449e-14,"TB"
"53","H3f3b",3.15491538836419e-18,-0.709957282663436,0.493,0.856,5.05669838447012e-14,"TB"
"54","Dynll1",4.44810853534413e-18,-0.952748608518287,0.134,0.473,7.12942836044958e-14,"TB"
"55","Stat1",6.79839052252898e-18,-0.819414590252888,0.486,0.779,1.08964603295095e-13,"TB"
"56","Bsg",7.20769693757391e-18,-1.31448452049864,0.072,0.356,1.15524966515435e-13,"TB"
"57","Gabarap",7.98621449257106e-18,-0.862294764578702,0.141,0.466,1.28003045886929e-13,"TB"
"58","Elovl5",1.01117938205274e-17,-0.83653452889298,0.199,0.569,1.62071831355414e-13,"TB"
