"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp","significant","expression","human_gene"
"1","Lag3",4.0859108599002e-34,4.71813563213051,0.398,0.074,6.54889792624805e-30,"NP+","significant","positive","LAG3"
"2","Ms4a6d",4.7113765092878e-16,4.32716527397651,0.313,0.032,7.55139426908648e-12,"NP+","significant","positive","MS4A6E"
"3","Cybb",4.47526562353018e-08,4.24947624733393,0.313,0.024,0.000717295574139417,"NP+","significant","positive","CYBB"
"4","Mpeg1",4.53540574971809e-10,4.06317017176595,0.361,0.037,7.26934833564816e-06,"NP+","significant","positive","MPEG1"
"5","Lyz2",2.45208358293943e-08,-4.00394829878938,0.077,0.43,0.000393019956673532,"NP-","significant","negative","LYZ"
"6","Tgm2",2.7938068547124e-11,3.8751619187448,0.253,0.037,4.47791362673303e-07,"NP+","significant","positive","TGM2"
"7","H2-Aa",1.10709182095306e-08,3.85812606924951,0.386,0.04,0.000177444677062357,"NP+","significant","positive","HLA-DQA2"
"8","Plac8",5.19307965668681e-52,3.8146781425258,0.813,0.196,8.32346807373762e-48,"NP+","significant","positive","PLAC8"
"9","Fcgr4",4.20594287193606e-07,3.76199468217067,0.301,0.059,0.00674128523513912,"NP+","significant","positive","FCGR3B"
"10","Clec4a3",5.19749290291565e-12,3.60638231555543,0.271,0.041,8.3305416247932e-08,"NP+","significant","positive","CLEC4A"
"11","Cd74",1.40281903629291e-37,3.52194196250721,0.663,0.078,2.24843835137027e-33,"NP+","significant","positive","CD74"
"12","Plac8",6.97293059491577e-76,-3.47078580226309,0.058,0.387,1.1176213157531e-71,"Untreated","significant","negative","PLAC8"
"13","Csf1r",1.38095472589571e-07,3.4094231727139,0.307,0.053,0.00221339423466564,"NP+","significant","positive","CSF1R"
"14","Cd68",6.68450612852946e-12,3.3556983570835,0.313,0.072,1.0713926422807e-07,"NP+","significant","positive","CD68"
"15","Ctsh",1.18152116330809e-08,3.23265401960696,0.283,0.046,0.000189374212055021,"NP+","significant","positive","CTSH"
"16","Hck",1.02499272110543e-10,3.1695783466775,0.386,0.079,1.64285833338778e-06,"NP+","significant","positive","HCK"
"17","Gzmb",6.47657273421056e-16,3.11841913777613,0.476,0.21,1.03806507783927e-11,"NP+","significant","positive","GZMB"
"18","Gbp2b",5.10841957573408e-53,-3.11748269951419,0.072,0.44,8.18777489598659e-49,"Untreated","significant","negative","GBP3"
"19","Ifitm3",9.96769368327103e-10,2.95895379216574,0.428,0.129,1.59762194355468e-05,"NP+","significant","positive","IFITM3"
"20","St6gal1",2.15793414845525e-17,-2.94920267984031,0.078,0.415,3.45873685314407e-13,"NP+","significant","negative","ST6GAL1"
"21","Ccr4",1.77653759926152e-11,-2.93740832782503,0.084,0.338,2.84743446409636e-07,"NP+","significant","negative","CCR4"
"22","Pla2g7",5.80470658197347e-07,2.86922921615601,0.386,0.109,0.00930378370958707,"NP+","significant","positive","PLA2G7"
"23","Ly6a",2.7256247997232e-25,2.84599475337476,0.428,0.109,4.36863142899634e-21,"NP+","significant","positive",NA
"24","Lyz2",5.46507174171825e-21,2.79450694300882,0.62,0.155,8.75941698762602e-17,"NP+","significant","positive","LYZ"
"25","Tiam1",3.47389866686054e-13,-2.7304624254148,0.133,0.403,5.56796478324407e-09,"NP+","significant","negative","TIAM1"
"26","Pdcd1",4.36180649263941e-18,2.57705106118203,0.47,0.2,6.99110344640244e-14,"NP+","significant","positive","PDCD1"
"27","App",1.43308591264326e-07,2.55077208846972,0.361,0.085,0.00229695010078462,"NP+","significant","positive","APP"
"28","S1pr1",3.9438162780226e-22,-2.53093640321507,0.181,0.578,6.32114873041462e-18,"NP+","significant","negative","S1PR1"
"29","Usp28",8.47521861127729e-09,-2.5027905693072,0.06,0.257,0.000135840803901552,"NP+","significant","negative","USP28"
"30","Dtx1",1.64287423292014e-09,-2.49001688856404,0.066,0.28,2.6331988205244e-05,"NP+","significant","negative","DTX1"
"31","Gzmb",4.35581940570322e-12,-2.48558337506079,0.105,0.31,6.98150734346112e-08,"Untreated","significant","negative","GZMB"
"32","Cd8a",1.06176851963047e-23,2.40948197188527,0.398,0.102,1.70180258326371e-19,"NP+","significant","positive","CD8A"
"33","Slamf6",8.25067540200583e-15,-2.37042826677358,0.127,0.441,1.32241825343349e-10,"NP+","significant","negative","SLAMF6"
"34","Ehd1",5.59776051706417e-08,2.30039090923959,0.355,0.162,0.000897209055675045,"NP+","significant","positive","EHD1"
"35","Adgrg5",2.74496301828671e-09,2.28717169452076,0.283,0.093,4.39962672570993e-05,"NP+","significant","positive","ADGRG5"
"36","Sesn1",1.27359143394767e-09,-2.2694519422423,0.084,0.294,2.04131235033133e-05,"NP+","significant","negative","SESN1"
"37","Tasp1",8.08762516433133e-08,-2.23693423274055,0.084,0.271,0.00129628456133903,"NP+","significant","negative","TASP1"
"38","Lilrb4a",4.50965470690868e-09,2.23483410778196,0.524,0.227,7.22807456423323e-05,"NP+","significant","positive","LILRB4"
"39","Trib2",3.48000909481142e-12,-2.20753000565074,0.12,0.388,5.57775857716375e-08,"NP+","significant","negative","TRIB2"
"40","Tk2",2.21002500217856e-07,-2.16012894332044,0.102,0.283,0.00354222807349179,"NP+","significant","negative","TK2"
"41","Ly6e",8.50116899546918e-34,2.15357906146166,0.801,0.416,1.3625673665938e-29,"NP+","significant","positive","LY6E"
"42","Plekhg2",1.25614982892524e-09,-2.14356211741194,0.096,0.318,2.01335694580137e-05,"NP+","significant","negative","PLEKHG2"
"43","Rhoq",1.72255745513604e-08,2.13941538836395,0.367,0.178,0.000276091508909204,"NP+","significant","positive","RHOQ"
"44","Hopx",2.41350327710731e-15,2.12192679330849,0.482,0.201,3.8683630525476e-11,"NP+","significant","positive","HOPX"
"45","Ncf2",2.79412267586012e-08,2.10359889366473,0.512,0.19,0.00044784198248686,"NP+","significant","positive","NCF2"
"46","Il1b",6.08151522052399e-53,2.10106215653185,0.916,0.413,9.74745259545585e-49,"NP+","significant","positive","IL1B"
"47","Pdcd1",1.62943410282291e-13,-2.09105155072442,0.08,0.306,2.61165698000456e-09,"Untreated","significant","negative","PDCD1"
"48","Plac8",1.75953401932071e-07,-2.08217099230411,0.263,0.342,0.00282018112616724,"NP-","significant","negative","PLAC8"
"49","Patz1",3.42436237831681e-14,-2.07270987150524,0.114,0.404,5.48856801996618e-10,"NP+","significant","negative","PATZ1"
"50","Fcer1g",1.07710939314524e-13,2.06406048631013,0.614,0.327,1.72639093533319e-09,"NP+","significant","positive","FCER1G"
"51","Slfn4",1.18909301969848e-09,2.06260019376856,0.518,0.255,1.90587829197272e-05,"NP+","significant","positive","SLFN12L"
"52","Cd8b1",6.74604453573381e-23,2.06211300086842,0.458,0.138,1.08125601818742e-18,"NP+","significant","positive","CD8B2"
"53","Litaf",1.41036921807991e-18,2.05700592996658,0.663,0.335,2.26053978273848e-14,"NP+","significant","positive","LITAF"
"54","Nxpe3",5.48337463246682e-08,-2.04733746476433,0.127,0.323,0.000878875286091782,"NP+","significant","negative","NXPE3"
"55","Aldh18a1",9.24292145662023e-09,-2.04676514674574,0.108,0.313,0.000148145545106709,"NP+","significant","negative","ALDH18A1"
"56","Cd40lg",1.13996297424323e-08,-2.03724936982485,0.066,0.267,0.000182713265511704,"NP+","significant","negative","CD40LG"
"57","Igtp",1.78623396839538e-27,-2.02154798142968,0.138,0.493,2.86297580454411e-23,"Untreated","significant","negative","IRGM"
"58","Smco4",4.48805163283597e-09,-1.96441446773953,0.084,0.305,7.19344915710948e-05,"NP+","significant","negative","SMCO4"
"59","Ifitm2",1.31360838625207e-07,1.95738562695215,0.536,0.253,0.00210545152148481,"NP+","significant","positive","IFITM3"
"60","Exoc6b",3.65702170257423e-07,-1.95204671678153,0.096,0.273,0.00586147438488597,"NP+","significant","negative","EXOC6B"
"61","H2-Q6",2.41852327101057e-31,1.9468544675603,0.861,0.667,3.87640909877574e-27,"NP+","significant","positive","HLA-G"
"62","Mxd1",6.44453342605433e-24,1.93149279845015,0.831,0.544,1.03292981752799e-19,"NP+","significant","positive","MXD1"
"63","Adgrl1",3.95459458619e-08,-1.92651551476768,0.072,0.273,0.000633842420274534,"NP+","significant","negative","ADGRL1"
"64","Tnfrsf9",5.30828003239748e-15,-1.91815305080946,0.065,0.31,8.50811123592668e-11,"Untreated","significant","negative","TNFRSF9"
"65","Dennd4a",5.55417450291912e-13,1.91764747760374,0.614,0.41,8.90223089327876e-09,"NP+","significant","positive","DENND4A"
"66","Crtc3",2.39975800635099e-12,-1.90743431732867,0.151,0.426,3.84633213257937e-08,"NP+","significant","negative","CRTC3"
"67","Sytl1",4.47413713600351e-10,-1.89460702189792,0.151,0.4,7.17114700158642e-06,"NP+","significant","negative","SYTL1"
"68","Cxcl2",7.14098926996015e-12,1.89433844582452,0.512,0.191,1.14455776018921e-07,"NP+","significant","positive","CXCL3"
"69","Serpina3g",9.77472065909976e-16,-1.89413029602729,0.058,0.272,1.56669222724051e-11,"Untreated","significant","negative","SERPINA3"
"70","Podnl1",3.1997951682363e-07,-1.88811812595104,0.084,0.264,0.00512863169564915,"NP+","significant","negative","PODNL1"
"71","Acod1",1.79703605679675e-33,-1.88142259990373,0.069,0.295,2.88028939183384e-29,"Untreated","significant","negative","ACOD1"
"72","Ctss",6.06008991672025e-07,1.87297017494688,0.554,0.387,0.00971311211851922,"NP+","significant","positive","CTSS"
"73","mt-Cytb",2.79629871698767e-20,-1.8710615238734,0.259,0.651,4.48190758358784e-16,"NP+","significant","negative","CYTB"
"74","Pik3ap1",2.84186186055755e-11,1.866574639574,0.482,0.247,4.55493619010164e-07,"NP+","significant","positive","PIK3AP1"
"75","Wdr46",1.43693473703122e-09,-1.8637903166546,0.102,0.33,2.30311899651363e-05,"NP+","significant","negative","WDR46"
"76","Gbp2",1.11214036732086e-42,-1.84767459912127,0.192,0.568,1.78253858074187e-38,"Untreated","significant","negative","GBP2"
"77","Ezh2",8.50569294510198e-09,-1.84757965560449,0.09,0.31,0.000136329246524095,"NP+","significant","negative","EZH2"
"78","Odc1",8.19603218600898e-11,1.83356344361236,0.657,0.513,1.31366003877352e-06,"NP+","significant","positive","ODC1"
"79","Cst3",1.08620355785245e-09,1.82916396790636,0.669,0.567,1.7409670625259e-05,"NP+","significant","positive","CST3"
"80","Abcb1a",7.38068503932084e-15,-1.82435707451673,0.025,0.254,1.18297619810234e-10,"Untreated","significant","negative","ABCB1"
"81","Tnfrsf9",2.35595192766216e-10,1.82224435557895,0.404,0.212,3.77611974965691e-06,"NP+","significant","positive","TNFRSF9"
"82","S100a8",1.29523439426548e-39,1.81036338065725,0.837,0.413,2.07600168712872e-35,"NP+","significant","positive","S100A8"
"83","Trio",1.55601799783582e-08,-1.80541660537702,0.078,0.285,0.000249398564693125,"NP+","significant","negative","TRIO"
"84","Epsti1",2.39982615711404e-11,1.79532216976598,0.608,0.429,3.84644136462239e-07,"NP+","significant","positive","EPSTI1"
"85","Arpc4",1.61936084725062e-31,-1.79042879235936,0.123,0.548,2.5955115659733e-27,"Untreated","significant","negative","ARPC4"
"86","Slc25a25",5.21114914635333e-07,-1.78786563452386,0.084,0.262,0.00835242985177512,"NP+","significant","negative","SLC25A25"
"87","Ccr7",9.40741505322649e-09,-1.78568609153096,0.066,0.262,0.000150782048473114,"NP+","significant","negative","CCR7"
"88","Aven",1.42185996690962e-10,-1.78546798931925,0.114,0.366,2.27895715496274e-06,"NP+","significant","negative","AVEN"
"89","Mfhas1",5.93761878435087e-09,-1.75978036530139,0.09,0.3,9.51681538755758e-05,"NP+","significant","negative","MFHAS1"
"90","Dnah8",9.72067329626886e-11,-1.75961901990044,0.145,0.396,1.55802951592597e-06,"NP+","significant","negative","DNAH8"
"91","Ass1",2.11428483499147e-12,-1.75200249970568,0.187,0.472,3.38877573352434e-08,"NP+","significant","negative","ASS1"
"92","Fbxo33",5.8766765393177e-10,-1.75135009911114,0.127,0.39,9.41913715721841e-06,"NP+","significant","negative","FBXO33"
"93","Klrk1",2.78456433394882e-14,-1.74941695787023,0.091,0.327,4.46309971445317e-10,"Untreated","significant","negative","KLRK1"
"94","mt-Nd3",1.38960226716813e-25,1.74341072119145,0.396,0.1,2.22725451381708e-21,"NP-","significant","positive","ND3"
"95","Gbp9",1.46674037950496e-20,-1.74062516624734,0.065,0.363,2.35089148027055e-16,"Untreated","significant","negative","GBP6"
"96","Rarg",1.67639361591483e-09,-1.71877790016602,0.157,0.379,2.6869236875883e-05,"NP+","significant","negative","RARG"
"97","Trim12c",1.36970130987253e-14,-1.71577874174335,0.054,0.279,2.1953572594637e-10,"Untreated","significant","negative","TRIM5"
"98","Nck2",1.06700000294528e-08,-1.70806893851681,0.108,0.332,0.00017101876047207,"NP+","significant","negative","NCK2"
"99","Smad5",1.13622907771545e-09,-1.69872097514577,0.09,0.316,1.82114796576232e-05,"NP+","significant","negative","SMAD5"
"100","Ctsw",1.22368551276809e-18,1.69767309667677,0.639,0.342,1.9613231398647e-14,"NP+","significant","positive","CTSW"
"101","Csf3r",5.88265995915424e-12,1.6859161072773,0.645,0.293,9.42872738253242e-08,"NP+","significant","positive","CSF3R"
"102","Gata3",1.28145250838093e-21,-1.67494655289204,0.283,0.699,2.05391208043296e-17,"NP+","significant","negative","GATA3"
"103","Maf",3.3949667026761e-16,-1.67464132741631,0.265,0.618,5.44145263104925e-12,"NP+","significant","negative","MAF"
"104","Rtp4",1.35861919222749e-20,-1.67442823133169,0.069,0.312,2.17759484130222e-16,"Untreated","significant","negative","RTP4"
"105","Gbp5",1.9076839127566e-24,-1.67425212351597,0.08,0.353,3.05763577536628e-20,"Untreated","significant","negative","GBP5"
"106","Ifi47",2.15336757466416e-35,-1.66489075360115,0.174,0.606,3.45141754867171e-31,"Untreated","significant","negative",NA
"107","Panx1",4.0353811330469e-16,-1.6557227006631,0.072,0.336,6.46790888004758e-12,"Untreated","significant","negative","PANX1"
"108","Ramp1",9.95239928448343e-10,-1.65484578533651,0.145,0.389,1.595170557317e-05,"NP+","significant","negative","RAMP1"
"109","Il1b",5.22261347612715e-13,-1.65218179082528,0.426,0.584,8.37080487953659e-09,"NP-","significant","negative","IL1B"
"110","Naa20",6.57864478930623e-19,-1.64637921718157,0.047,0.334,1.05442518683e-14,"Untreated","significant","negative","NAA20"
"111","Irf4",2.92793975215339e-11,-1.64587635856198,0.087,0.302,4.69290183475146e-07,"Untreated","significant","negative","IRF4"
"112","Sema4b",4.37672196564953e-11,-1.64528615851246,0.169,0.437,7.01500996654307e-07,"NP+","significant","negative","SEMA4B"
"113","Tyrobp",1.40013907860977e-10,1.63633882645115,0.608,0.311,2.24414291519573e-06,"NP+","significant","positive","TYROBP"
"114","Cebpb",7.29857172321564e-14,-1.62165405570671,0.484,0.636,1.169815075797e-09,"NP-","significant","negative","CEBPB"
"115","Gpr174",3.13305551981077e-07,-1.62049586827077,0.078,0.254,0.00502166138715271,"NP+","significant","negative","GPR174"
"116","Zfp236",1.1546759910303e-07,-1.61410972499044,0.139,0.337,0.00185071467842336,"NP+","significant","negative","ZNF236"
"117","Gpr18",1.36638395613555e-12,-1.60034341008498,0.08,0.293,2.19004020489407e-08,"Untreated","significant","negative","GPR18"
"118","Irgm2",1.26620404528471e-19,-1.58924733284706,0.094,0.375,2.02947184378234e-15,"Untreated","significant","negative","IRGM"
"119","Tspan32",2.02452771083846e-13,-1.58780612553071,0.133,0.454,3.24491301493188e-09,"NP+","significant","negative","TSPAN32"
"120","mt-Nd3",8.85234991015373e-16,-1.58408995166571,0.08,0.337,1.41885464359944e-11,"Untreated","significant","negative","ND3"
"121","Chordc1",1.02640102905771e-08,-1.57995355016502,0.102,0.309,0.00016451155693737,"NP+","significant","negative","CHORDC1"
"122","Sumo2",2.32928625948351e-31,1.57714881451156,0.449,0.102,3.73338001670018e-27,"NP-","significant","positive","SUMO2"
"123","Nkg7",1.09942717455608e-27,1.57295829681216,0.807,0.383,1.76216187537848e-23,"NP+","significant","positive","NKG7"
"124","Tasp1",2.41471454483814e-26,1.57212040684173,0.368,0.075,3.87030447246657e-22,"NP-","significant","positive","TASP1"
"125","Galnt12",9.26950488285265e-08,-1.57027344730992,0.127,0.331,0.00148571624262362,"NP+","significant","negative","GALNT12"
"126","Neurl3",3.73799516911311e-13,1.55051504871298,0.717,0.527,5.99125865705449e-09,"NP+","significant","positive","NEURL3"
"127","mt-Nd1",2.10610383991474e-50,1.55003776088572,0.775,0.265,3.37566323461535e-46,"NP-","significant","positive","ND1"
"128","Trim59",1.75923490306663e-08,-1.54876302946623,0.114,0.33,0.000281970170263519,"NP+","significant","negative","TRIM59"
"129","Irf4",3.93141413484109e-16,1.54565828600233,0.342,0.115,6.3012705753233e-12,"NP-","significant","positive","IRF4"
"130","Pacs1",1.59705301602964e-14,-1.54182892159033,0.205,0.534,2.5597565740923e-10,"NP+","significant","negative","PACS1"
"131","Dusp10",4.01325261392165e-12,-1.54112778311016,0.373,0.637,6.43244128959362e-08,"NP+","significant","negative","DUSP10"
"132","Panx1",4.87442423776464e-23,1.5391769251712,0.391,0.1,7.81272716828917e-19,"NP-","significant","positive","PANX1"
"133","Cdipt",3.69690263201898e-12,-1.53260032525886,0.163,0.444,5.92539553860002e-08,"NP+","significant","negative","CDIPT"
"134","Cd4",1.00876066964257e-14,-1.5294672658407,0.193,0.522,1.61684160130312e-10,"NP+","significant","negative","CD4"
"135","Il7r",4.6988600607097e-11,-1.52668361094015,0.277,0.548,7.53133290530551e-07,"NP+","significant","negative","IL7R"
"136","Pptc7",2.35024880770914e-07,-1.52233282638085,0.114,0.3,0.00376697878899622,"NP+","significant","negative","PPTC7"
"137","Klrk1",1.02860928646503e-09,1.51962631903967,0.44,0.228,1.64865496434616e-05,"NP+","significant","positive","KLRK1"
"138","S100a9",4.57318396868415e-32,1.50745428956406,0.837,0.473,7.32989926500696e-28,"NP+","significant","positive","S100A9"
"139","Cops7a",1.18198955814778e-08,-1.5042257726329,0.072,0.278,0.000189449286379926,"NP+","significant","negative","COPS7A"
"140","Ifi204",4.7357417960548e-29,-1.50134723154121,0.101,0.5,7.59044695071663e-25,"Untreated","significant","negative","PYHIN1"
"141","Fbxo33",1.08190574375653e-33,1.50127175538777,0.519,0.124,1.73407852609296e-29,"NP-","significant","positive","FBXO33"
"142","Tmem154",2.34370027639246e-09,-1.48901085565498,0.163,0.413,3.75648280300183e-05,"NP+","significant","negative","TMEM154"
"143","Ccr5",1.18439046254332e-18,-1.48496434786674,0.087,0.39,1.89834103336443e-14,"Untreated","significant","negative","CCR5"
"144","Igtp",1.96390819053254e-29,1.48359352663298,0.539,0.213,3.14775204778556e-25,"NP-","significant","positive","IRGM"
"145","Arpc4",1.68699317710383e-44,1.48081114156287,0.626,0.181,2.70391266426202e-40,"NP-","significant","positive","ARPC4"
"146","Ppp1r15a",1.93978663361761e-24,-1.47767759542299,0.5,0.872,3.10909001636231e-20,"NP+","significant","negative","PPP1R15A"
"147","Sumo2",1.52214638129048e-18,-1.47050818053237,0.08,0.379,2.43969621993238e-14,"Untreated","significant","negative","SUMO2"
"148","Serpina3g",1.61667502438212e-10,1.46890892038631,0.398,0.177,2.59120672907967e-06,"NP+","significant","positive","SERPINA3"
"149","Nup153",7.27971496228208e-18,-1.46834947510374,0.265,0.643,1.16679271415457e-13,"NP+","significant","negative","NUP153"
"150","Irf8",5.20236835276942e-14,-1.46630640843915,0.101,0.326,8.33835599581882e-10,"Untreated","significant","negative","IRF8"
"151","Faah",1.87125617578932e-16,-1.46054818296645,0.283,0.655,2.99924939855513e-12,"NP+","significant","negative","FAAH"
"152","Klrc1",5.13509049005347e-11,1.45642550420529,0.38,0.152,8.2305230374577e-07,"NP+","significant","positive","KLRC4"
"153","Rhoq",1.70242695896587e-11,-1.45141922204739,0.065,0.264,2.72864992983049e-07,"Untreated","significant","negative","RHOQ"
"154","Fxr2",5.71581904875722e-08,-1.45124680323728,0.151,0.349,0.000916131477134808,"NP+","significant","negative","FXR2"
"155","Ptms",3.75982634572539e-08,1.44912259885189,0.663,0.537,0.000602624966692866,"NP+","significant","positive","PTMS"
"156","Agfg2",3.14474276169885e-14,1.44466693931873,0.26,0.072,5.04039369845091e-10,"NP-","significant","positive","AGFG2"
"157","Ada",5.83719825881708e-17,1.43792963186797,0.261,0.052,9.35586136923201e-13,"NP-","significant","positive","ADA"
"158","Bckdk",2.21664325290077e-14,1.42980755681596,0.256,0.07,3.55283580574935e-10,"NP-","significant","positive","BCKDK"
"159","Skil",7.41157852904916e-12,1.42857104946864,0.627,0.478,1.187927806636e-07,"NP+","significant","positive","SKIL"
"160","Hip1",1.17385932965877e-13,-1.41968753831751,0.083,0.344,1.88146173357707e-09,"Untreated","significant","negative","HIP1"
"161","Serpinb9",5.43687796520048e-12,-1.4133428651069,0.091,0.308,8.71422800262334e-08,"Untreated","significant","negative","SERPINB9"
"162","Fam117a",2.29368819179239e-11,-1.40892446012012,0.199,0.476,3.67632343380485e-07,"NP+","significant","negative","FAM117A"
"163","Klf2",3.09360025549367e-19,-1.4062069602507,0.741,0.862,4.95842248950525e-15,"NP+","significant","negative","KLF2"
"164","Mospd3",1.50599147462988e-08,-1.39781249931136,0.157,0.374,0.000241380313553678,"NP+","significant","negative","MOSPD3"
"165","Cdc25b",1.5480889855049e-09,-1.39757425860882,0.205,0.456,2.48127702596725e-05,"NP+","significant","negative","CDC25B"
"166","Ctsw",1.56509167518694e-16,-1.39661571269997,0.17,0.473,2.50852893698963e-12,"Untreated","significant","negative","CTSW"
"167","Farsb",2.33647044097919e-18,1.39507623286987,0.258,0.05,3.74489482280144e-14,"NP-","significant","positive","FARSB"
"168","Prf1",3.99813962618079e-12,-1.39471476399831,0.091,0.289,6.40821819284256e-08,"Untreated","significant","negative","PRF1"
"169","Arid4a",1.01613789241391e-10,-1.39409492334006,0.193,0.447,1.62866581396102e-06,"NP+","significant","negative","ARID4A"
"170","Zbtb38",1.84125109366122e-08,-1.39285540018524,0.145,0.368,0.00029511572529202,"NP+","significant","negative","ZBTB38"
"171","Sp140",1.59498234068679e-17,-1.38792390794935,0.065,0.28,2.55643769565279e-13,"Untreated","significant","negative","SP140L"
"172","Ncoa6",5.60918223746558e-21,-1.38641550076402,0.051,0.359,8.99039729020984e-17,"Untreated","significant","negative","NCOA6"
"173","Dcaf1",8.30230422486402e-08,-1.37654057516051,0.078,0.266,0.00133069332116121,"NP+","significant","negative","DCAF1"
"174","Cd7",3.14178265266715e-08,-1.37450706530633,0.149,0.329,0.00050356492356949,"Untreated","significant","negative","CD7"
"175","Cblb",8.62256800816407e-28,-1.37429993454235,0.199,0.643,1.38202520034854e-23,"Untreated","significant","negative","CBLB"
"176","Cebpb",5.12457845831008e-15,1.36974397352909,0.771,0.507,8.21367435297939e-11,"NP+","significant","positive","CEBPB"
"177","Grina",3.5971065756289e-10,1.36910244116897,0.705,0.505,5.76544241941801e-06,"NP+","significant","positive","GRINA"
"178","Alad",3.33727652976204e-07,-1.36568538625899,0.157,0.352,0.0053489868219026,"NP+","significant","negative","ALAD"
"179","Cd69",8.89314199947366e-31,1.36567625490351,0.728,0.321,1.42539279967564e-26,"NP-","significant","positive","CD69"
"180","Runx2",8.47169090004327e-08,1.36398371600621,0.524,0.382,0.00135784261745894,"NP+","significant","positive","RUNX2"
"181","Hopx",2.22010604840455e-10,-1.36315283860539,0.091,0.306,3.55838597438281e-06,"Untreated","significant","negative","HOPX"
"182","Slain2",3.99231138382847e-10,-1.36314584937813,0.181,0.434,6.39887668600027e-06,"NP+","significant","negative","SLAIN2"
"183","Morf4l2",4.41350858782704e-14,-1.35765269599819,0.04,0.264,7.07397156456918e-10,"Untreated","significant","negative","MORF4L2"
"184","Eml3",4.42061153275985e-11,-1.35527549178346,0.181,0.461,7.08535616470749e-07,"NP+","significant","negative","EML3"
"185","Sntb1",1.3633680727984e-09,-1.35394718775591,0.217,0.46,2.18520634708128e-05,"NP+","significant","negative","SNTB1"
"186","Ifi204",3.54428630986802e-43,1.35338269421909,0.581,0.147,5.68078209745646e-39,"NP-","significant","positive","PYHIN1"
"187","Crem",1.13309048674717e-11,1.3525576743785,0.759,0.673,1.81611743215837e-07,"NP+","significant","positive","CREM"
"188","Naa20",2.81763855627434e-25,1.34873817398924,0.388,0.086,4.51611107799651e-21,"NP-","significant","positive","NAA20"
"189","Bcl11b",9.11526847482758e-20,-1.34750560513527,0.392,0.757,1.46099523114537e-15,"NP+","significant","negative","BCL11B"
"190","Orc4",5.33419306076625e-08,-1.3454227101377,0.187,0.389,0.000854964463779614,"NP+","significant","negative","ORC4"
"191","Cxcl2",1.68363464334702e-31,-1.33874204647389,0.091,0.302,2.6985296063566e-27,"Untreated","significant","negative","CXCL3"
"192","Jaml",6.98769103012529e-08,1.33549772150508,0.434,0.208,0.00111998711830848,"NP+","significant","positive","JAML"
"193","Gab3",3.52570232991749e-19,1.33294435149344,0.256,0.048,5.65099569439175e-15,"NP-","significant","positive","GAB3"
"194","mt-Atp8",8.30226518241401e-19,-1.33274943184879,0.404,0.768,1.33068706343732e-14,"NP+","significant","negative","ATP8"
"195","Gbp2",1.03832838888876e-09,1.32924072726561,0.596,0.44,1.6642327417109e-05,"NP+","significant","positive","GBP2"
"196","mt-Nd2",7.9314002357519e-09,-1.32803125716314,0.205,0.441,0.000127124482978631,"NP+","significant","negative","ND2"
"197","Tle4",1.45477827229495e-28,1.32504745048352,0.444,0.104,2.33171861483434e-24,"NP-","significant","positive","TLE4"
"198","Atp1b1",2.25903519867707e-11,1.3225832342308,0.279,0.111,3.62078161643961e-07,"NP-","significant","positive","ATP1B1"
"199","Gem",3.74178874981877e-12,-1.31602183391629,0.149,0.386,5.99733900820953e-08,"Untreated","significant","negative","GEM"
"200","Cd5",5.36871407296651e-10,-1.31549080175269,0.38,0.598,8.60497491615072e-06,"NP+","significant","negative","CD5"
"201","Il27ra",1.25145347761449e-15,-1.31478263394657,0.307,0.645,2.00582963392051e-11,"NP+","significant","negative","IL27RA"
"202","Bsg",7.20769693757391e-18,-1.31448452049864,0.072,0.356,1.15524966515435e-13,"Untreated","significant","negative","BSG"
"203","Laptm4a",3.0950951562613e-12,-1.31046791205915,0.062,0.261,4.96081851645562e-08,"Untreated","significant","negative","LAPTM4A"
"204","Tent2",1.02605793834149e-21,1.3090381649961,0.335,0.077,1.64456566357373e-17,"NP-","significant","positive","TENT2"
"205","Ripor2",7.4333513888656e-21,-1.30328605215731,0.41,0.79,1.19141756060738e-16,"NP+","significant","negative","RIPOR2"
"206","Irf1",2.58972272133877e-26,-1.29963800877149,0.504,0.826,4.15080757776178e-22,"Untreated","significant","negative","IRF1"
"207","Capza2",2.33908475524143e-21,-1.29796185914526,0.098,0.438,3.74908504570097e-17,"Untreated","significant","negative","CAPZA2"
"208","Srsf3",1.76411852819281e-11,-1.2924755794221,0.169,0.465,2.82752917698744e-07,"NP+","significant","negative","SRSF3"
"209","Irgm2",1.59052273986288e-21,1.28465160501892,0.418,0.145,2.54928984745222e-17,"NP-","significant","positive","IRGM"
"210","mt-Nd4l",8.96399720217764e-10,-1.28116665309224,0.181,0.452,1.43674947156503e-05,"NP+","significant","negative","ND4L"
"211","Ctse",1.93841072276025e-13,-1.2799221247868,0.205,0.521,3.10688470644012e-09,"NP+","significant","negative","CTSE"
"212","mt-Nd1",7.41135416869372e-26,-1.27799413987451,0.246,0.667,1.18789184615823e-21,"Untreated","significant","negative","ND1"
"213","Axin2",8.00135198008104e-09,-1.27513718770625,0.169,0.403,0.000128245669536739,"NP+","significant","negative","AXIN2"
"214","H2-K1",3.09858733414382e-40,1.27394334972299,0.988,0.949,4.96641577916571e-36,"NP+","significant","positive","HLA-G"
"215","Hint1",1.16160423700232e-25,1.27175346531961,0.435,0.129,1.86181927106732e-21,"NP-","significant","positive","HINT1"
