"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp","significant","expression","human_gene"
"1591","Heca",2.75229051682836e-09,-0.532717112741133,0.428,0.753,4.4113712403725e-05,"NP+","significant","negative","HECA"
"1592","Extl3",3.71402421432153e-15,0.532682332899942,0.432,0.174,5.95283801071455e-11,"NP-","significant","positive","EXTL3"
"1593","Etfdh",4.40220617286055e-11,0.532032434061032,0.26,0.088,7.05585605386089e-07,"NP-","significant","positive","ETFDH"
"1594","Cdt1",1.90504419263213e-11,0.531934114000939,0.388,0.163,3.05340483195078e-07,"NP-","significant","positive","CDT1"
"1595","Fgl2",1.83215185883208e-10,-0.531029226718219,0.33,0.523,2.93657299933607e-06,"Untreated","significant","negative","FGL2"
"1596","Bcl3",5.5305679683375e-08,-0.530583751701699,0.185,0.37,0.000886439433965134,"Untreated","significant","negative","BCL3"
"1597","Gak",3.23804982449396e-19,0.530238066712166,0.577,0.231,5.18994625869891e-15,"NP-","significant","positive","GAK"
"1598","Commd1",1.65222037900878e-10,0.529635387442027,0.3,0.127,2.64817882347527e-06,"NP-","significant","positive","COMMD1"
"1599","N4bp1",2.2744654940432e-11,-0.529553306876927,0.192,0.446,3.64551329385245e-07,"Untreated","significant","negative","N4BP1"
"1600","Vps4a",1.59327785364536e-10,0.5290109070465,0.274,0.104,2.55370574382278e-06,"NP-","significant","positive","VPS4A"
"1601","Resf1",5.20714266501164e-21,0.528582008006315,0.646,0.274,8.34600826348066e-17,"NP-","significant","positive","RESF1"
"1602","Cdadc1",7.63922496622114e-12,0.528576817414984,0.272,0.093,1.22441497758592e-07,"NP-","significant","positive","CDADC1"
"1603","Slc25a39",8.37999931894514e-08,-0.528193969921729,0.145,0.346,0.00134314629084053,"Untreated","significant","negative","SLC25A39"
"1604","Abhd13",3.2259238036643e-09,-0.528155776589396,0.08,0.27,5.17051067251314e-05,"Untreated","significant","negative","ABHD13"
"1605","Ints11",2.17684596299169e-13,0.527603031010873,0.356,0.136,3.48904870948307e-09,"NP-","significant","positive","INTS11"
"1606","Exoc4",1.61275271539883e-07,-0.527261041215322,0.265,0.517,0.00258492005224125,"NP+","significant","negative","EXOC4"
"1607","Degs1",1.66191522167138e-17,0.526852226743737,0.453,0.176,2.66371771729489e-13,"NP-","significant","positive","DEGS1"
"1608","Ubap2l",6.60328990507513e-12,-0.526321432179747,0.25,0.575,1.05837530598544e-07,"Untreated","significant","negative","UBAP2L"
"1609","Gsap",8.44917280191285e-10,-0.526093298832623,0.127,0.318,1.35423341669059e-05,"Untreated","significant","negative","GSAP"
"1610","Calr",1.39410940238081e-17,0.526045706844895,0.628,0.271,2.23447855013596e-13,"NP-","significant","positive","CALR"
"1611","Hspa14",1.39293151415608e-13,0.525914984618892,0.426,0.179,2.23259063088936e-09,"NP-","significant","positive","HSPA14"
"1612","Zfp592",7.10676306995058e-22,0.52586135532869,0.542,0.199,1.13907198485168e-17,"NP-","significant","positive","ZNF592"
"1613","Tubb5",7.95393301399111e-08,0.525849176188812,0.66,0.378,0.0012748563834825,"NP-","significant","positive","TUBB"
"1614","Nxpe3",1.68602437834568e-13,0.525582703766931,0.389,0.163,2.70235987361246e-09,"NP-","significant","positive","NXPE3"
"1615","Limd2",2.41957398030765e-10,-0.525135757229858,0.572,0.842,3.8780931756371e-06,"Untreated","significant","negative","LIMD2"
"1616","Zfp646",2.35474578611021e-11,-0.525071328629391,0.091,0.321,3.77418654597744e-07,"Untreated","significant","negative","ZNF646"
"1617","Ubap2l",2.85621500368341e-21,0.52494794988227,0.656,0.267,4.57794140790377e-17,"NP-","significant","positive","UBAP2L"
"1618","Arid1b",2.15730800062729e-13,-0.524526276541821,0.203,0.522,3.45773326340542e-09,"Untreated","significant","negative","ARID1B"
"1619","Zfyve1",8.74731769839626e-14,0.524161104202923,0.307,0.097,1.40202008069895e-09,"NP-","significant","positive","ZFYVE1"
"1620","Anapc7",4.9345460025304e-09,-0.524151817217457,0.127,0.327,7.90909033285572e-05,"Untreated","significant","negative","ANAPC7"
"1621","Slfn8",1.44404627159952e-10,-0.523977620940925,0.098,0.281,2.31451736411972e-06,"Untreated","significant","negative","SLFN13"
"1622","Lsm12",9.73112315142511e-17,0.523974868530526,0.43,0.167,1.55970441871042e-12,"NP-","significant","positive","LSM12"
"1623","Hnrnpa1",1.24917284142514e-16,0.523892344573777,0.689,0.335,2.00217423023622e-12,"NP-","significant","positive","HNRNPA1L2"
"1624","Zswim6",1.90957478220927e-09,-0.523837637503208,0.076,0.262,3.06066646092502e-05,"Untreated","significant","negative","ZSWIM6"
"1625","Tpt1",1.79159074687064e-26,0.523794717145367,0.995,0.898,2.87156164908427e-22,"NP-","significant","positive","TPT1P8"
"1626","Fam120a",1.11189430584101e-14,-0.523742697993161,0.159,0.481,1.78214419340197e-10,"Untreated","significant","negative","FAM120A"
"1627","Atg2b",5.94090691877454e-13,0.523556616188994,0.307,0.109,9.52208560941183e-09,"NP-","significant","positive","ATG2B"
"1628","Atm",3.00652654106333e-14,-0.523468414187987,0.076,0.329,4.81886074001631e-10,"Untreated","significant","negative","ATM"
"1629","Flna",3.2181390921465e-07,-0.523289924759041,0.627,0.831,0.00515803333689242,"NP+","significant","negative","FLNA"
"1630","Glul",3.19818713952614e-08,-0.523209945916132,0.141,0.333,0.000512605434723249,"Untreated","significant","negative","GLUL"
"1631","Esco1",1.69747939658222e-10,-0.523148296754044,0.127,0.368,2.72071997684198e-06,"Untreated","significant","negative","ESCO1"
"1632","Pkm",9.09092745824977e-14,-0.523114813933815,0.304,0.666,1.45709385300827e-09,"Untreated","significant","negative","PKM"
"1633","Hnrnpul2",5.61591986591483e-09,-0.52287665142839,0.38,0.689,9.0011963610883e-05,"NP+","significant","negative","HNRNPUL2"
"1634","Ppp4r1",3.0617823923477e-12,0.522667957401655,0.254,0.086,4.90742481845489e-08,"NP-","significant","positive","PPP4R1"
"1635","Herpud1",7.1682254048669e-11,-0.522556405720745,0.199,0.493,1.14892316789207e-06,"Untreated","significant","negative","HERPUD1"
"1636","Kpna3",8.50697352756565e-11,0.522548689250821,0.295,0.113,1.36349771699822e-06,"NP-","significant","positive","KPNA3"
"1637","Prkab1",3.87609863494798e-14,0.522525518179938,0.288,0.088,6.21261089209462e-10,"NP-","significant","positive","PRKAB1"
"1638","Hmgcs1",1.68739753643988e-07,-0.521401242410698,0.098,0.257,0.00270456077140585,"Untreated","significant","negative","HMGCS1"
"1639","Fnip1",2.38249419356913e-11,-0.521377101825254,0.083,0.274,3.8186616934526e-07,"Untreated","significant","negative","FNIP1"
"1640","Cdk12",7.83024430246239e-18,0.521139665970242,0.561,0.226,1.25503155679867e-13,"NP-","significant","positive","CDK12"
"1641","Ostm1",9.63491352063622e-15,0.520614092765582,0.339,0.118,1.54428393908757e-10,"NP-","significant","positive","OSTM1"
"1642","Cib1",1.5648807326906e-11,0.520542083392024,0.316,0.124,2.5081908383565e-07,"NP-","significant","positive","CIB1"
"1643","Chic2",1.09784982844028e-11,-0.520193413452569,0.098,0.314,1.75963370502407e-07,"Untreated","significant","negative","CHIC2"
"1644","Ptpn2",5.64049977478529e-12,-0.520036070090189,0.134,0.393,9.04059303902586e-08,"Untreated","significant","negative","PTPN2"
"1645","Cdv3",2.86125667804633e-11,-0.519903413891603,0.149,0.427,4.58602220357266e-07,"Untreated","significant","negative","CDV3"
"1646","Leo1",6.50507341891751e-11,0.519847133193467,0.304,0.115,1.0426331675841e-06,"NP-","significant","positive","LEO1"
"1647","Ubxn6",2.02550457506414e-10,-0.519823447827244,0.087,0.308,3.2464787329128e-06,"Untreated","significant","negative","UBXN6"
"1648","Crtc3",3.00161286812424e-16,0.519808361899368,0.512,0.21,4.81098510502954e-12,"NP-","significant","positive","CRTC3"
"1649","Cited2",2.50494044475228e-11,0.51955022113866,0.751,0.452,4.01491854484896e-07,"NP-","significant","positive","CITED2"
"1650","Pigk",6.20798993884281e-12,0.519495264113873,0.267,0.09,9.95016627397726e-08,"NP-","significant","positive","PIGK"
"1651","Fem1b",7.35208958130086e-12,0.519478373158393,0.298,0.115,1.1783929180909e-07,"NP-","significant","positive","FEM1B"
"1652","Atp5g3",1.58525214288517e-12,-0.518920307196605,0.12,0.374,2.54084213461635e-08,"Untreated","significant","negative",NA
"1653","Cnn2",3.91884222941855e-07,-0.518847479270133,0.645,0.853,0.00628112032531206,"NP+","significant","negative","CNN2"
"1654","Smad2",2.61113912342544e-19,0.518765041118666,0.472,0.172,4.1851337870263e-15,"NP-","significant","positive","SMAD2"
"1655","Slamf6",7.91916523808168e-13,0.518515862054368,0.505,0.24,1.26928380435973e-08,"NP-","significant","positive","SLAMF6"
"1656","Smarca2",1.93539555284937e-13,0.518466167697018,0.404,0.161,3.10205199210697e-09,"NP-","significant","positive","SMARCA2"
"1657","Gatad2a",1.31597894524012e-07,-0.518244511187185,0.295,0.543,0.00210925105343086,"NP+","significant","negative","GATAD2A"
"1658","Snrnp200",5.22207154732934e-07,-0.518229203343017,0.313,0.534,0.00836993627605947,"NP+","significant","negative","SNRNP200"
"1659","Ubac2",2.91240428124284e-19,0.518120670880385,0.549,0.219,4.66800158197602e-15,"NP-","significant","positive","UBAC2"
