"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp"
"1528","Commd1",1.65222037900878e-10,0.529635387442027,0.3,0.127,2.64817882347527e-06,"NP-"
"1529","Naa38",1.848475310884e-10,0.514670254185292,0.296,0.122,2.96273622828487e-06,"NP-"
"1530","Nol9",1.88951141309301e-10,0.72051227785176,0.26,0.086,3.02850889290547e-06,"NP-"
"1531","Lrrc8a",1.91918439032706e-10,0.502981652659671,0.291,0.115,3.07606874081622e-06,"NP-"
"1532","Pold3",1.97046421550167e-10,0.649661790943106,0.253,0.106,3.15826004460608e-06,"NP-"
"1533","Rngtt",2.55305046921865e-10,0.594748736594017,0.256,0.093,4.09202929206365e-06,"NP-"
"1534","Mthfd2",2.56569631695411e-10,0.536499671717958,0.321,0.138,4.11229805681405e-06,"NP-"
"1535","Naa40",2.72695863902918e-10,0.640076565514989,0.277,0.1,4.37076930663597e-06,"NP-"
"1536","Ccdc25",2.81281044321818e-10,0.571726603047736,0.291,0.118,4.5083725783901e-06,"NP-"
"1537","Spr",3.19848593434817e-10,0.507653779329076,0.295,0.118,5.12653325557325e-06,"NP-"
"1538","Ccr4",4.63880296318394e-10,0.611136077078476,0.386,0.181,7.43507338939123e-06,"NP-"
"1539","Isg15",4.80056177917332e-10,-0.842283239086604,0.347,0.222,7.69434041965899e-06,"NP-"
"1540","Nifk",5.45313312304983e-10,0.567552981089433,0.279,0.111,8.74028176962426e-06,"NP-"
"1541","Ppp1r10",6.09320963552804e-10,0.572029952116976,0.335,0.133,9.76619640382434e-06,"NP-"
"1542","Gnai2",7.81768508953793e-10,-0.711321056845526,0.886,0.729,1.25301856615114e-05,"NP-"
"1543","Trac",1.30526465082859e-09,0.602838233168823,0.77,0.663,2.09207818234806e-05,"NP-"
"1544","Trappc1",1.38436073768772e-09,0.702769943154401,0.261,0.097,2.21885339036588e-05,"NP-"
"1545","Traf5",1.61592386651816e-09,0.563617129653482,0.333,0.149,2.59000277325531e-05,"NP-"
"1546","Irf8",2.46824074969347e-09,0.68889792351693,0.321,0.192,3.95609627360869e-05,"NP-"
"1547","Actn1",3.76341733072693e-09,0.566733407622383,0.311,0.145,6.03200529768913e-05,"NP-"
"1548","Lyz2",2.45208358293943e-08,-4.00394829878938,0.077,0.43,0.000393019956673532,"NP-"
"1549","Ugcg",2.64517315169436e-08,0.553902582498871,0.467,0.281,0.000423968352753573,"NP-"
"1550","Furin",3.26356584656524e-08,0.666419546374713,0.691,0.432,0.000523084333887477,"NP-"
"1551","Arsb",3.36399926105547e-08,0.676756343395045,0.302,0.147,0.000539181801561971,"NP-"
"1552","Mtss1",4.35357742804976e-08,0.616122101824947,0.258,0.115,0.000697791390167816,"NP-"
"1553","Cd81",5.39729109861714e-08,0.546636270946422,0.267,0.111,0.000865077817286355,"NP-"
"1554","Gem",7.10582075440751e-08,0.619104374469751,0.396,0.224,0.00113892095051644,"NP-"
"1555","Tubb5",7.95393301399111e-08,0.525849176188812,0.66,0.378,0.0012748563834825,"NP-"
"1556","Cers6",1.46259831779199e-07,-0.516894488632322,0.256,0.176,0.00234425258375701,"NP-"
"1557","Cd7",1.63570032633774e-07,0.715451449347578,0.351,0.188,0.00262170048305413,"NP-"
"1558","Plac8",1.75953401932071e-07,-2.08217099230411,0.263,0.342,0.00282018112616724,"NP-"
"1559","Ikzf2",3.18955733646915e-07,0.535087810662724,0.482,0.299,0.00511222249889276,"NP-"
"1560","Synj1",3.71378963215937e-07,-0.5948366353844,0.358,0.186,0.00595246202242503,"NP-"
"1561","Kdm6b",4.0121728793728e-07,-1.00169930583543,0.775,0.676,0.00643071069105873,"NP-"
"1562","Por",5.6086549949199e-07,-0.665418926773115,0.3,0.165,0.00898955222585762,"NP-"
"1563","Ndfip1",6.8596352920515e-07,-0.760290405818433,0.912,0.778,0.0109946234461001,"NP-"
"1564","Spry2",1.12490905508772e-06,0.962917612384103,0.3,0.172,0.0180300423349459,"NP-"
"1565","Prf1",1.52915227125056e-06,0.520982380929591,0.281,0.176,0.024509252603604,"NP-"
"1566","Btg2",1.74018299419988e-06,-0.559018341845751,0.951,0.867,0.0278916530310356,"NP-"
"1567","Retnlg",2.81445637476067e-06,-1.00811626114045,0.253,0.244,0.045110106774664,"NP-"
"1568","Ell2",3.69028949526278e-06,-0.524283830553613,0.414,0.233,0.0591479600300719,"NP-"
"1569","Lamp2",4.34183282209705e-06,-0.873578474002891,0.318,0.247,0.0695908964725715,"NP-"
"1570","Zfp330",4.94383455723587e-06,-0.504104250975455,0.418,0.229,0.0792397802833765,"NP-"
"1571","Timm10b",5.07907588989388e-06,-0.549366720092473,0.321,0.181,0.0814074283632191,"NP-"
"1572","Hdac5",6.78488833979144e-06,-0.548227419747859,0.293,0.179,0.108748190310177,"NP-"
"1573","Il1rl1",7.90052824712104e-06,0.746630247613296,0.282,0.158,0.126629666744856,"NP-"
"1574","Ndufb5",1.02921402274578e-05,-0.559719316924582,0.305,0.165,0.164962423565694,"NP-"
"1575","Pgd",1.36706126131173e-05,-0.782129892833674,0.389,0.262,0.219112578963045,"NP-"
"1576","Trafd1",1.40347918866205e-05,-0.713965960812053,0.451,0.278,0.224949644358753,"NP-"
"1577","Scyl2",1.47157803687921e-05,-0.553558184010647,0.361,0.201,0.235864527751,"NP-"
"1578","Nae1",1.86908638856205e-05,-0.602276317859759,0.311,0.165,0.299577166358725,"NP-"
"1579","Brd7",2.06935164156302e-05,-0.581349297463198,0.325,0.181,0.331675681109721,"NP-"
"1580","Casp1",2.59678513800694e-05,-0.511459915537166,0.295,0.179,0.416212721919752,"NP-"
"1581","Atp6ap2",2.63757231870477e-05,-0.520398477177343,0.386,0.217,0.422750091242001,"NP-"
"1582","Fastk",2.91449597797638e-05,-0.525113721622758,0.358,0.199,0.467135415350055,"NP-"
"1583","Tmem11",3.76969157690036e-05,-0.541950549229425,0.256,0.136,0.60420616594559,"NP-"
"1584","Tspo",4.36598185235439e-05,-0.777877854593908,0.789,0.67,0.699779571295361,"NP-"
"1585","Rexo5",4.50759635383957e-05,-0.502590273750647,0.293,0.158,0.722477543593406,"NP-"
"1586","Qsox1",4.86049725707424e-05,-0.61037368628443,0.374,0.258,0.779040500363859,"NP-"
"1587","Kin",5.60962841843595e-05,-0.574027729141758,0.267,0.149,0.899111242906915,"NP-"
"1588","Chst12",5.78998732959437e-05,-0.584108573232708,0.302,0.17,0.928019169187386,"NP-"
"1589","Stard3",5.96708795313953e-05,-0.582721232008952,0.27,0.14,0.956404857129204,"NP-"
"1590","Ssbp1",5.98197766103136e-05,-0.584881747018038,0.344,0.19,0.958791379510107,"NP-"
"1591","Rabggta",6.01607538555199e-05,-0.534246846762622,0.321,0.188,0.964256562796273,"NP-"
"1592","Trim25",6.54283247379711e-05,-0.521927719701995,0.416,0.274,1,"NP-"
"1593","Bcl7c",7.75274687210025e-05,-0.591760322827575,0.398,0.224,1,"NP-"
"1594","Uqcc3",9.34881162922121e-05,-0.553113134326167,0.382,0.224,1,"NP-"
"1595","Dedd2",9.40926090816846e-05,-0.531213849707811,0.465,0.262,1,"NP-"
"1596","Washc2",9.53993811877941e-05,-0.698915269270286,0.382,0.233,1,"NP-"
"1597","Gspt1",9.87489609581173e-05,-0.558887419446511,0.426,0.244,1,"NP-"
"1598","H2-Q6",0.000103973162635367,-1.12957391223247,0.763,0.615,1,"NP-"
"1599","Trps1",0.000104096475227864,-0.531501852642275,0.33,0.219,1,"NP-"
"1600","Tpgs1",0.000105257597787352,-0.706638409042155,0.319,0.176,1,"NP-"
"1601","Slc35a3",0.000106272144345626,-0.57764980076442,0.254,0.14,1,"NP-"
"1602","Tmem50b",0.000125175613638855,-0.519192652587384,0.254,0.165,1,"NP-"
"1603","Ctsc",0.000127934902901793,-0.626879152421915,0.463,0.344,1,"NP-"
"1604","Grina",0.000141815411115356,-1.27155722233974,0.519,0.561,1,"NP-"
"1605","Mettl23",0.000145076580792273,-0.624941820055633,0.27,0.152,1,"NP-"
"1606","Ewsr1",0.000152971626025814,-0.716760765489288,0.267,0.149,1,"NP-"
"1607","S100a8",0.000158921103214123,-1.00143098570274,0.47,0.498,1,"NP-"
"1608","Mbd2",0.000167319230074726,-0.537571376909182,0.902,0.751,1,"NP-"
"1609","Ppp6c",0.000175759726893475,-0.609562264862088,0.465,0.274,1,"NP-"
"1610","Zcrb1",0.000186142275500116,-0.523579437555532,0.312,0.183,1,"NP-"
"1611","Nrros",0.000198262450358052,-0.531057491351276,0.426,0.294,1,"NP-"
"1612","Ccrl2",0.000201040746707223,-0.713394742877491,0.318,0.278,1,"NP-"
"1613","Fos",0.000229700297434576,-0.678850454182874,0.723,0.733,1,"NP-"
"1614","Ahdc1",0.00023354950517938,-0.575121538978037,0.351,0.206,1,"NP-"
"1615","Nsun4",0.000240351943647617,-0.506043181669998,0.272,0.156,1,"NP-"
"1616","Hsd17b11",0.000242089640919654,-0.508073246780298,0.268,0.188,1,"NP-"
"1617","Ubp1",0.000265079005899599,-0.521975198249672,0.521,0.319,1,"NP-"
"1618","P4hb",0.000268833553985958,-0.51162630524105,0.505,0.294,1,"NP-"
"1619","Nr4a3",0.000285778629596783,-0.51343738861822,0.437,0.271,1,"NP-"
"1620","Eef1akmt2",0.000305287354957411,-0.534820985419257,0.291,0.165,1,"NP-"
"1621","Sdf2",0.000307478707012816,-0.531684757839449,0.475,0.285,1,"NP-"
"1622","Slfn4",0.000307517971806032,-1.4193780314632,0.314,0.278,1,"NP-"
"1623","Slc9a3r1",0.000313828469223541,-0.668351900070939,0.811,0.676,1,"NP-"
"1624","Galnt6",0.000324179487446973,-0.518934568720786,0.5,0.299,1,"NP-"
"1625","Psap",0.000365813591310002,-0.580963836357928,0.633,0.414,1,"NP-"
"1626","Txnrd1",0.000377474085580426,-0.666373813790518,0.356,0.219,1,"NP-"
"1627","Celf2",0.000384447818050148,-0.553572816367752,0.823,0.649,1,"NP-"
"1628","Acbd6",0.000385089101432534,-0.755495428724887,0.439,0.244,1,"NP-"
"1629","Ifitm1",0.000429986484512917,-1.51036041860435,0.232,0.428,1,"NP-"
"1630","Atp6v1b2",0.00044450975406732,-0.690906145756061,0.477,0.301,1,"NP-"
"1631","Coa3",0.000453853801384015,-0.596172469031675,0.274,0.158,1,"NP-"
"1632","Yy1",0.000456532407949723,-0.849134837949813,0.789,0.606,1,"NP-"
"1633","Tceal9",0.000464994926316041,-0.608999794156596,0.361,0.21,1,"NP-"
"1634","Vps53",0.000482572719352172,-0.657826923035622,0.37,0.224,1,"NP-"
"1635","Tsr3",0.000484513623941987,-0.695895247532915,0.275,0.152,1,"NP-"
"1636","Atp5mpl",0.000504128052468457,-0.595814969945606,0.4,0.235,1,"NP-"
"1637","Ddit3",0.000515300584321971,-0.5295762869537,0.344,0.21,1,"NP-"
"1638","mt-Nd6",0.000528788909375469,-1.41021213223724,0.551,0.493,1,"NP-"
"1639","Camta2",0.000558293390831692,-0.590704144125542,0.354,0.231,1,"NP-"
"1640","Ndufaf8",0.00056438319275223,-0.56317955187141,0.291,0.174,1,"NP-"
"1641","March5",0.000597601721540673,-0.561450586189125,0.261,0.147,1,"NP-"
"1642","Gtf3c1",0.000634523343273385,-0.53726430659649,0.265,0.161,1,"NP-"
"1643","Pcnx3",0.000656119093129149,-0.521119396561664,0.526,0.314,1,"NP-"
"1644","Net1",0.000678470064816889,-0.604922918405548,0.265,0.136,1,"NP-"
"1645","Eipr1",0.000710155433871904,-0.509687509514747,0.437,0.267,1,"NP-"
"1646","Zfyve27",0.000824462761307654,-0.52132482792689,0.379,0.233,1,"NP-"
"1647","Adrb2",0.000855475616078346,-0.52351882532948,0.467,0.333,1,"NP-"
"1648","Pld3",0.000927510760225723,-0.607120318351331,0.5,0.303,1,"NP-"
"1649","Nfe2l1",0.000960904228262823,-0.528679523410514,0.453,0.271,1,"NP-"
"1650","Pphln1",0.00109017384770354,-0.652954328048508,0.335,0.208,1,"NP-"
"1651","Rex1bd",0.00120027770967492,-0.679759043559419,0.274,0.165,1,"NP-"
"1652","Dpm3",0.00121640694717328,-0.566626252819371,0.342,0.21,1,"NP-"
"1653","Itgb3",0.00123040365073668,-0.538272775912803,0.354,0.217,1,"NP-"
"1654","Ppp1r35",0.00128010545899072,-0.592725528147256,0.307,0.181,1,"NP-"
"1655","Fkrp",0.00136133292826234,-0.509481866597514,0.289,0.183,1,"NP-"
"1656","Tinf2",0.00141208928282556,-0.526402710756964,0.414,0.262,1,"NP-"
"1657","Sipa1l3",0.00143698258708661,-0.545038923850765,0.263,0.172,1,"NP-"
"1658","Cdk5rap3",0.00150254776032841,-0.592939829720619,0.353,0.217,1,"NP-"
"1659","Ptpn12",0.00164670860717084,-0.502199196616642,0.307,0.192,1,"NP-"
"1660","Hip1",0.00168147981271337,-0.508952696905661,0.33,0.199,1,"NP-"
"1661","Arl6ip4",0.00169142749333955,-0.544689471009044,0.349,0.215,1,"NP-"
"1662","Elmsan1",0.00171475793712339,-0.739305658163493,0.474,0.29,1,"NP-"
"1663","Tpm1",0.00181139563776245,-0.590520155278859,0.288,0.17,1,"NP-"
"1664","Fam173a",0.00183841416522984,-0.629111941497964,0.432,0.265,1,"NP-"
"1665","Irf2bpl",0.0018683281343416,-0.618275824348126,0.404,0.247,1,"NP-"
"1666","Armc7",0.0019626013043583,-0.703769456872037,0.291,0.188,1,"NP-"
"1667","Ctsb",0.00201078457030892,-0.644125463019802,0.681,0.441,1,"NP-"
"1668","Tnrc18",0.00219554004225096,-0.777764235857743,0.451,0.287,1,"NP-"
"1669","Gch1",0.00230490806676384,-0.525648383220134,0.3,0.199,1,"NP-"
"1670","Arl8a",0.00234376284086898,-0.554298764310391,0.391,0.253,1,"NP-"
"1671","Tmem128",0.00251419131080221,-0.653997718097054,0.351,0.213,1,"NP-"
"1672","Ctla4",0.00252733568577391,0.639605560154428,0.551,0.457,1,"NP-"
"1673","Slc6a6",0.00254095869226312,-0.619722799330422,0.296,0.195,1,"NP-"
"1674","Nadk",0.0026104685323551,-0.813281271530292,0.507,0.357,1,"NP-"
"1675","Arhgap17",0.00283784649588114,-0.764706018152171,0.337,0.224,1,"NP-"
"1676","Dennd4a",0.00292923906940965,-0.753238070578122,0.523,0.342,1,"NP-"
"1677","Pnpla7",0.00294515390240639,-0.70851190318589,0.293,0.206,1,"NP-"
"1678","Tnfrsf1a",0.0029992678763779,-1.03957676328929,0.307,0.278,1,"NP-"
"1679","Kmt5c",0.00302685852056281,-0.761644814745722,0.319,0.201,1,"NP-"
"1680","Tm2d2",0.00303722316562466,-0.596853714699334,0.251,0.156,1,"NP-"
"1681","Mif4gd",0.0034634177294609,-0.515110859076692,0.465,0.303,1,"NP-"
"1682","Col4a3bp",0.00383318632339145,-0.630726675283149,0.551,0.346,1,"NP-"
"1683","Nfe2l2",0.00389096271877773,-0.91352548564233,0.261,0.188,1,"NP-"
"1684","Tesk1",0.00398603043796282,-0.729335758652909,0.302,0.186,1,"NP-"
"1685","Rnf187",0.00425461539959022,-0.579130908202899,0.796,0.629,1,"NP-"
"1686","Kdm2b",0.00426458750074129,-0.688147130020214,0.316,0.199,1,"NP-"
"1687","Rnf103",0.00439872563408566,-0.654622538721505,0.326,0.213,1,"NP-"
"1688","Zmpste24",0.00457244143890204,-0.628775583149946,0.337,0.217,1,"NP-"
"1689","Usp32",0.00484343694976891,-0.822097123389492,0.323,0.229,1,"NP-"
"1690","Vamp1",0.00506749339469443,-0.773446290622692,0.325,0.208,1,"NP-"
"1691","Ptpn1",0.00521513620650189,-0.534580941347465,0.654,0.419,1,"NP-"
"1692","Csf3r",0.00556749987079454,-1.82069956010129,0.289,0.43,1,"NP-"
"1693","Lyst",0.00563500771414516,-0.652986594270972,0.335,0.281,1,"NP-"
"1694","Cstb",0.00569743864424509,-0.760799064879657,0.326,0.229,1,"NP-"
"1695","Tyrobp",0.00628101815644289,-1.30902535486876,0.312,0.421,1,"NP-"
"1696","Cd74",0.00632411372968572,-4.60272332154238,0.019,0.373,1,"NP-"
"1697","Sephs2",0.00662719808587873,-0.649915790924964,0.423,0.281,1,"NP-"
"1698","Slc35b2",0.00887280857453888,-0.612279568937302,0.423,0.285,1,"NP-"
"1699","Lpp",0.00892656612316905,-0.630275385200687,0.298,0.206,1,"NP-"
"1700","Naga",0.0093477846763864,-0.772277119237937,0.253,0.181,1,"NP-"
"1701","Mapkapk3",0.00973809127651322,-0.748069619257158,0.3,0.195,1,"NP-"
"1702","Neurl3",0.0104440989264069,-0.988362857449383,0.581,0.529,1,"NP-"
"1703","Bach1",0.0104723879760499,-0.935103944398638,0.274,0.217,1,"NP-"
"1704","Vamp2",0.0107083492074027,-0.783143745700306,0.458,0.301,1,"NP-"
"1705","Notch2",0.0107920581896442,-0.612035150273855,0.502,0.344,1,"NP-"
"1706","B4galt5",0.0111996028125857,-0.592237639378696,0.386,0.274,1,"NP-"
"1707","Gmfb",0.0112163805975348,-0.503173960590056,0.616,0.405,1,"NP-"
"1708","Skap2",0.0113362575815648,-1.20693591620424,0.26,0.233,1,"NP-"
"1709","Tnfaip2",0.0134492556235703,-1.56409944276972,0.184,0.258,1,"NP-"
"1710","Sphk2",0.0147168330338408,-0.834088652415865,0.251,0.163,1,"NP-"
"1711","Bcl2l1",0.0151872975247337,-0.525897967797373,0.386,0.267,1,"NP-"
"1712","Cln3",0.015192038096443,-0.575699696949367,0.34,0.242,1,"NP-"
"1713","Plaur",0.0155542917192623,-1.80639359684005,0.17,0.253,1,"NP-"
"1714","Pdlim1",0.0173424559630844,-0.591194916841036,0.279,0.186,1,"NP-"
"1715","Dnajc15",0.0176742550810243,-1.0173756538496,0.274,0.188,1,"NP-"
"1716","Cep250",0.0176974858511726,-0.832259603973121,0.289,0.188,1,"NP-"
"1717","Anp32b",0.0179640024232329,-0.527804324774295,0.477,0.305,1,"NP-"
"1718","Nab2",0.0180055350974937,-0.556574089430032,0.268,0.179,1,"NP-"
"1719","Ptms",0.0185620959643838,-1.1770198950088,0.595,0.509,1,"NP-"
"1720","Erp29",0.0195673376105843,-0.665753215443104,0.507,0.342,1,"NP-"
"1721","Zbtb4",0.019939607585195,-0.703919323500612,0.323,0.208,1,"NP-"
"1722","Spata2",0.0208873467462924,-0.826785456155756,0.288,0.192,1,"NP-"
"1723","Spg7",0.0215020886203502,-0.755430300486574,0.435,0.285,1,"NP-"
"1724","Trim11",0.0216917171106671,-0.874093907795277,0.261,0.176,1,"NP-"
"1725","Pglyrp1",0.0217287912718071,-0.670874797589835,0.384,0.287,1,"NP-"
"1726","Map3k11",0.0217817994666298,-0.624576432285637,0.421,0.283,1,"NP-"
"1727","Cst3",0.0224430652725042,-1.33623111716024,0.623,0.534,1,"NP-"
"1728","Chchd2",0.0227404490016606,-0.818721655113595,0.716,0.559,1,"NP-"
"1729","Wdyhv1",0.0228927143490635,-0.87152633886626,0.265,0.172,1,"NP-"
"1730","Myl6",0.0235659783576162,-1.16561111538612,0.625,0.495,1,"NP-"
"1731","Tdp2",0.0242108705482813,-0.67837163866921,0.312,0.21,1,"NP-"
"1732","Fcer1g",0.0245982249179775,-1.62558089695354,0.328,0.434,1,"NP-"
"1733","Runx2",0.0250455954926497,-1.07791184064525,0.412,0.396,1,"NP-"
"1734","Ttc39c",0.0258285852180517,-1.06713661656787,0.33,0.229,1,"NP-"
"1735","Dgat1",0.0265848069652681,-1.14908992061091,0.388,0.265,1,"NP-"
"1736","Lemd2",0.0267484567810795,-0.62218537763227,0.546,0.362,1,"NP-"
"1737","Rin3",0.0272153918799421,-0.662092123866513,0.484,0.33,1,"NP-"
"1738","Ppp1r3b",0.0272452729148076,-0.819250632876859,0.251,0.195,1,"NP-"
"1739","Atf4",0.028328435789061,-0.601717181272392,0.582,0.376,1,"NP-"
"1740","Crk",0.0300697418748054,-0.899799242261539,0.421,0.285,1,"NP-"
"1741","Gng2",0.0302226110431307,-0.684022261334422,0.461,0.324,1,"NP-"
"1742","Itprid2",0.0313750156481363,-0.682903089766489,0.286,0.21,1,"NP-"
"1743","Slc15a4",0.0344559181331807,-0.805368250353459,0.261,0.181,1,"NP-"
"1744","Ybx3",0.0347667334655248,-0.510672672059922,0.477,0.342,1,"NP-"
"1745","Tlnrd1",0.034878949866696,-0.518051141043947,0.33,0.213,1,"NP-"
