"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp"
"166","Nampt",7.0932911559108e-33,-1.41167182130347,0.261,0.538,1.07392428100489e-28,"Untreated"
"167","Alox5ap",7.32385983873563e-33,0.696299291936088,0.915,0.799,1.10883237958457e-28,"Untreated"
"168","mt-Nd1",7.79202188799991e-33,-1.32232767806147,0.314,0.589,1.17971211384319e-28,"Untreated"
"169","Vamp8",1.65377550492449e-32,-0.719585156244377,0.641,0.842,2.50381611445567e-28,"Untreated"
"170","Gbp6",1.87502202127571e-32,-3.97452316874892,0.023,0.272,2.83878334021142e-28,"Untreated"
"171","Ctsz",4.32327477295523e-32,-0.613985949985717,0.934,0.931,6.54543800625422e-28,"Untreated"
"172","Znrf2",4.32920175206862e-32,1.08723469115122,0.652,0.44,6.5544114526319e-28,"Untreated"
"173","H2-Eb1",5.11655253362532e-32,-0.63844311983557,0.949,0.975,7.74646053590873e-28,"Untreated"
"174","Myl6",5.38477782107685e-32,1.1443124461827,0.582,0.359,8.15255362111034e-28,"Untreated"
"175","H3f3a",5.93521504752935e-32,0.564949459325029,0.932,0.899,8.98591558195943e-28,"Untreated"
"176","R3hdm4",7.22641449774145e-32,1.50764010076885,0.386,0.173,1.09407915495806e-27,"Untreated"
"177","Rap1b",7.50723881219487e-32,-0.55069400044255,0.907,0.946,1.1365959561663e-27,"Untreated"
"178","Tnfaip3",7.51735330333232e-32,-1.38026628557172,0.306,0.574,1.13812729012451e-27,"Untreated"
"179","Limd2",8.38232580296194e-32,-1.05609641581157,0.478,0.694,1.26908412656844e-27,"Untreated"
"180","Apobr",9.17086447884891e-32,1.53624044333718,0.325,0.129,1.38846888209773e-27,"Untreated"
"181","Ahnak",1.2923159869123e-31,0.803221658353818,0.86,0.729,1.95656640418522e-27,"Untreated"
"182","Cdk9",1.54067855923304e-31,0.910726429611551,0.737,0.573,2.33258733867882e-27,"Untreated"
"183","Ifi44",2.3539012117838e-31,-1.31995872015498,0.331,0.59,3.56380643464067e-27,"Untreated"
"184","Rbpms",3.54612487026807e-31,-1.55448140733699,0.187,0.467,5.36883305358585e-27,"Untreated"
"185","Man2a1",4.28542814096655e-31,-0.890855370318096,0.461,0.706,6.48813820542336e-27,"Untreated"
"186","Cnn3",4.5045904371599e-31,-3.56772840937965,0.025,0.268,6.81994992186009e-27,"Untreated"
"187","C3",4.99922325833199e-31,-0.981872448127189,0.51,0.721,7.56882401311463e-27,"Untreated"
"188","Gbp7",5.69718518284551e-31,-3.21450749029455,0.066,0.317,8.6255383668281e-27,"Untreated"
"189","Klf2",6.1698579101813e-31,0.798570463120024,0.921,0.809,9.34116487601449e-27,"Untreated"
"190","Actr2",7.85729707151238e-31,-0.678948491114991,0.573,0.797,1.18959477662698e-26,"Untreated"
"191","Igsf6",8.19210727401505e-31,-0.746384901050344,0.643,0.813,1.24028504128588e-26,"Untreated"
"192","Lrrc8c",1.68883456389198e-30,-1.33165950258277,0.253,0.521,2.55689552973245e-26,"Untreated"
"193","Gsn",1.96552745379493e-30,1.2827257760767,0.533,0.307,2.97580856504553e-26,"Untreated"
"194","Celf2",2.06503426200508e-30,0.990015815395057,0.684,0.484,3.1264618726757e-26,"Untreated"
